,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel
60,533,06:03:13 04-29-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
61,534,02:55:41 04-29-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
62,532,21:30:38 04-28-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
63,531,20:34:12 04-28-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
64,530,18:47:32 04-28-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
65,529,18:11:48 04-28-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
66,528,16:04:16 04-28-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
67,527,13:51:05 04-28-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
68,526,13:14:57 04-28-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
70,524,09:57:09 04-28-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
71,523,07:16:19 04-28-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
72,522,05:17:04 04-28-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
73,520,01:55:15 04-28-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
74,521,21:15:09 04-27-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
75,519,18:45:51 04-27-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
76,518,18:11:33 04-27-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
77,517,14:25:12 04-27-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
78,516,14:00:14 04-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
79,515,11:15:58 04-27-2021,Pee,Pipi in Töpfchen  Windel trocken,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
80,514,10:00:42 04-27-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
81,513,09:00:12 04-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
82,512,06:40:03 04-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
83,511,02:30:55 04-27-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
84,510,21:25:21 04-26-2021,Pee,Pipi in mica. Windel nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
85,509,20:16:36 04-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
86,508,17:57:28 04-26-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
87,507,17:20:37 04-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
89,505,14:55:12 04-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
90,506,13:25:50 04-26-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
92,502,11:44:46 04-26-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
93,501,11:06:04 04-26-2021,Pee,En la mica!,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
94,500,10:00:57 04-26-2021,Pee,In die mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
95,499,09:48:12 04-26-2021,Pee,Windel nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
96,498,09:00:14 04-26-2021,Pee,Windel trocken! In mica!,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
97,496,07:40:25 04-26-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
98,497,03:16:49 04-26-2021,Pee,En el cambiador y pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
99,495,21:19:29 04-25-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
100,494,20:37:17 04-25-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
101,493,19:00:03 04-25-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
102,492,16:29:41 04-25-2021,Pee,Pipi ins Töpfchen. Windel feucht.,"Windel: feucht, Mica: True","{'Windel': 'feucht', 'Mica': True}",True,feucht
103,491,15:14:00 04-25-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
104,490,14:14:50 04-25-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
105,489,13:13:20 04-25-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
106,488,12:57:39 04-25-2021,Pee,Windel nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
107,487,09:46:47 04-25-2021,Pee,En la mica ,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
108,486,07:15:35 04-25-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
109,484,05:36:22 04-25-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
110,485,02:30:54 04-25-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
111,483,18:58:41 04-24-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
112,482,15:18:52 04-24-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
113,481,13:44:20 04-24-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
114,480,12:03:04 04-24-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
115,479,09:34:38 04-24-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
117,477,08:50:25 04-24-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
119,475,15:26:12 04-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
120,474,08:45:45 04-23-2021,Pee,,None,"{'Mica': None, 'Windel': None}",,
121,473,03:19:17 04-23-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
122,472,21:06:45 04-22-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
124,470,18:32:27 04-22-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
126,468,15:16:59 04-22-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
127,467,11:44:53 04-22-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
128,466,10:04:41 04-22-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
129,464,09:07:40 04-22-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
130,465,08:20:02 04-22-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
131,463,05:14:54 04-22-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
132,462,02:03:13 04-22-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
133,460,20:57:39 04-21-2021,Pee,En la mica ,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
134,459,19:34:12 04-21-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
135,458,18:04:07 04-21-2021,Pee,En la mica ,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
136,457,15:18:19 04-21-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
137,456,14:35:27 04-21-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
138,455,13:50:46 04-21-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
139,454,12:16:53 04-21-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
140,453,10:59:50 04-21-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
141,452,10:11:57 04-21-2021,Pee,Mica!,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
142,451,09:10:46 04-21-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
143,450,07:55:28 04-21-2021,Pee,En la mica y Pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
144,449,04:57:45 04-21-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
145,448,01:57:48 04-21-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
146,447,21:34:43 04-20-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
147,446,20:28:36 04-20-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
148,445,17:30:15 04-20-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
149,444,16:35:46 04-20-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
151,442,14:38:07 04-20-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
152,441,13:59:29 04-20-2021,Pee,Mica und Windel nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
155,437,04:58:02 04-20-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
156,438,01:23:22 04-20-2021,Pee,Pañal mojado y en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
157,436,19:10:48 04-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
158,435,19:00:55 04-19-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
159,434,18:00:41 04-19-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
160,433,17:31:05 04-19-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
162,431,16:10:11 04-19-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
163,430,12:27:00 04-19-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
165,428,07:30:10 04-19-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
166,427,03:53:09 04-19-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
167,426,20:34:58 04-18-2021,Pee,En la mica!! ,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
168,425,19:44:56 04-18-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
169,424,18:10:36 04-18-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
170,423,15:02:01 04-18-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
171,422,13:17:30 04-18-2021,Pee,Mica! Trocken!,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
172,421,12:02:03 04-18-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
173,420,10:50:25 04-18-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
175,416,07:56:32 04-18-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
176,418,04:30:27 04-18-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
177,417,00:58:08 04-18-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
178,415,21:25:50 04-17-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
179,414,18:03:54 04-17-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
180,412,15:35:33 04-17-2021,Pee,Mica! Trocken!,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
182,411,13:59:11 04-17-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
183,410,12:39:52 04-17-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
184,408,10:45:57 04-17-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
185,409,09:30:08 04-17-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
186,407,05:11:39 04-17-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
187,406,02:11:28 04-17-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
188,405,22:45:59 04-16-2021,Pee,In das Töpfchen! Windel feucht,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
189,404,20:14:14 04-16-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
190,403,19:08:12 04-16-2021,Pee,Mica!!,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
191,402,18:20:52 04-16-2021,Pee,Mica!!,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
192,401,16:55:59 04-16-2021,Pee,In die mica. Windel nass,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
193,400,15:10:06 04-16-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
194,399,13:36:29 04-16-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
195,397,10:10:24 04-16-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
196,398,08:30:52 04-16-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
197,396,05:54:40 04-16-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
199,395,05:05:50 04-16-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
200,393,01:11:04 04-16-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
201,392,20:00:59 04-15-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
202,391,18:11:28 04-15-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
203,390,16:31:31 04-15-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
204,389,15:38:51 04-15-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
206,387,13:11:16 04-15-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
208,384,06:40:11 04-15-2021,Pee,En la mica y Pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
209,383,03:39:51 04-15-2021,Pee,Pañal  mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
210,382,01:45:31 04-15-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
211,380,20:17:44 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
212,381,19:40:44 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
213,379,18:53:30 04-14-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
214,377,17:51:29 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
217,374,16:13:27 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
218,373,14:50:31 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
219,372,13:37:27 04-14-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass
220,371,12:45:47 04-14-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass
222,369,11:40:28 04-14-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken
